"d-flex href","symbol","text-start","text-start 2","text-decoration-none href","symbol 2","btn-quote","text-center href","text-decoration-none href 2","symbol 3"
"https://www.set.or.th/th/market/product/stock/quote/PM/price","PM","บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/agro","AGRO","","https://www.set.or.th/th/market/product/stock/quote/PM/factsheet","https://www.set.or.th/th/market/index/set/agro/food","FOOD"
"https://www.set.or.th/th/market/product/stock/quote/PMC/price","PMC","บริษัท พีเอ็มซี เลเบิล แมททีเรียลส์ จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/indus","INDUS","-","https://www.set.or.th/th/market/product/stock/quote/PMC/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PMTA/price","PMTA","บริษัท พีเอ็ม โทรีเซน เอเชีย โฮลดิ้งส์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/PMTA/factsheet","https://www.set.or.th/th/market/index/set/indus/petro","PETRO"
"https://www.set.or.th/th/market/product/stock/quote/POLAR/price","POLAR","บริษัท โพลาริส แคปปิตัล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/POLAR/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/POLY/price","POLY","บริษัท โพลีเน็ต จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/POLY/factsheet","https://www.set.or.th/th/market/index/set/indus/auto","AUTO"
"https://www.set.or.th/th/market/product/stock/quote/POPF/price","POPF","กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไพร์มออฟฟิศ","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/POPF/factsheet","https://www.set.or.th/th/market/index/set/propcon/pf&reit","PF&REIT"
"https://www.set.or.th/th/market/product/stock/quote/PORT/price","PORT","บริษัท สหไทย เทอร์มินอล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PORT/factsheet","https://www.set.or.th/th/market/index/set/service/trans","TRANS"
"https://www.set.or.th/th/market/product/stock/quote/PPM/price","PPM","บริษัท พรพรหมเม็ททอล จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/indus","INDUS","-","https://www.set.or.th/th/market/product/stock/quote/PPM/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PPP/price","PPP","บริษัท พรีเมียร์ โพรดักส์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PPP/factsheet","https://www.set.or.th/th/market/index/set/propcon/conmat","CONMAT"
"https://www.set.or.th/th/market/product/stock/quote/PPPM/price","PPPM","บริษัท พีพี ไพร์ม จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/agro","AGRO","","https://www.set.or.th/th/market/product/stock/quote/PPPM/factsheet","https://www.set.or.th/th/market/index/set/agro/agri","AGRI"
"https://www.set.or.th/th/market/product/stock/quote/PPS/price","PPS","บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/propcon","PROPCON","-","https://www.set.or.th/th/market/product/stock/quote/PPS/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PQS/price","PQS","บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/agro","AGRO","","https://www.set.or.th/th/market/product/stock/quote/PQS/factsheet","https://www.set.or.th/th/market/index/set/agro/food","FOOD"
"https://www.set.or.th/th/market/product/stock/quote/PR9/price","PR9","บริษัท โรงพยาบาลพระรามเก้า จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PR9/factsheet","https://www.set.or.th/th/market/index/set/service/helth","HELTH"
"https://www.set.or.th/th/market/product/stock/quote/PRAKIT/price","PRAKIT","บริษัท ประกิต โฮลดิ้งส์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PRAKIT/factsheet","https://www.set.or.th/th/market/index/set/service/media","MEDIA"
"https://www.set.or.th/th/market/product/stock/quote/PRAPAT/price","PRAPAT","บริษัท พีรพัฒน์ เทคโนโลยี จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/indus","INDUS","-","https://www.set.or.th/th/market/product/stock/quote/PRAPAT/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PREB/price","PREB","บริษัท พรีบิลท์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PREB/factsheet","https://www.set.or.th/th/market/index/set/propcon/cons","CONS"
"https://www.set.or.th/th/market/product/stock/quote/PRECHA/price","PRECHA","บริษัท ปรีชากรุ๊ป จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PRECHA/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/PRG/price","PRG","บริษัท พี อาร์ จี คอร์ปอเรชั่น จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/agro","AGRO","","https://www.set.or.th/th/market/product/stock/quote/PRG/factsheet","https://www.set.or.th/th/market/index/set/agro/food","FOOD"
"https://www.set.or.th/th/market/product/stock/quote/PRI/price","PRI","บริษัท พรีโม เซอร์วิส โซลูชั่น จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/propcon","PROPCON","-","https://www.set.or.th/th/market/product/stock/quote/PRI/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PRIME/price","PRIME","บริษัท ไพร์ม โรด เพาเวอร์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/PRIME/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/PRIN/price","PRIN","บริษัท ปริญสิริ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PRIN/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/PRINC/price","PRINC","บริษัท พริ้นซิเพิล แคปิตอล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PRINC/factsheet","https://www.set.or.th/th/market/index/set/service/helth","HELTH"
"https://www.set.or.th/th/market/product/stock/quote/PRM/price","PRM","บริษัท พริมา มารีน จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PRM/factsheet","https://www.set.or.th/th/market/index/set/service/trans","TRANS"
"https://www.set.or.th/th/market/product/stock/quote/PRO/price","PRO","บริษัท โปรเฟสชั่นแนล เวสต์ เทคโนโลยี (1999) จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PRO/factsheet","https://www.set.or.th/th/market/index/set/service/prof","PROF"
"https://www.set.or.th/th/market/product/stock/quote/PROEN/price","PROEN","บริษัท โปรเอ็น คอร์ป จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/tech","TECH","-","https://www.set.or.th/th/market/product/stock/quote/PROEN/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PROS/price","PROS","บริษัท พรอสเพอร์ เอ็นจิเนียริ่ง จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/propcon","PROPCON","-","https://www.set.or.th/th/market/product/stock/quote/PROS/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PROSPECT/price","PROSPECT","ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ พรอสเพค โลจิสติกส์และอินดัสเทรียล","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PROSPECT/factsheet","https://www.set.or.th/th/market/index/set/propcon/pf&reit","PF&REIT"
"https://www.set.or.th/th/market/product/stock/quote/PROUD/price","PROUD","บริษัท พราว เรียล เอสเตท จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PROUD/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/PRTR/price","PRTR","บริษัท พีอาร์ทีอาร์ กรุ๊ป จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PRTR/factsheet","https://www.set.or.th/th/market/index/set/service/prof","PROF"
"https://www.set.or.th/th/market/product/stock/quote/PSG/price","PSG","บริษัท พีเอสจี คอร์ปอเรชั่น จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/propcon","PROPCON","-","https://www.set.or.th/th/market/product/stock/quote/PSG/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PSH/price","PSH","บริษัท พฤกษา โฮลดิ้ง จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PSH/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/PSL/price","PSL","บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PSL/factsheet","https://www.set.or.th/th/market/index/set/service/trans","TRANS"
"https://www.set.or.th/th/market/product/stock/quote/PSP/price","PSP","บริษัท พี.เอส.พี.สเปเชียลตี้ส์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/PSP/factsheet","https://www.set.or.th/th/market/index/set/indus/imm","IMM"
